File, Method, Validation
form1.vb,Sub cmdEnde_Click, 
form1.vb,Function Zufallszahlen, 
form1.vb, ,If rad2.Checked = True Then
form1.vb, ,ElseIf rad3.Checked = True Then
form1.vb, ,ElseIf rad4.Checked = True Then
form1.vb,Sub check, 
form1.vb, ,If Val(txtSumme.Text) = Val(txtZahl1.Text) + Val(txtZahl2.Text) Then
form1.vb, ,If lbRichtig.Text > lbfalsch.Text Then
form1.vb,Sub Form1_Load, 
form1.vb,Sub rad2_CheckedChanged, 
form1.vb,Sub txtSumme_KeyPress, 
form1.vb, ,If e.KeyChar > Chr(47) And e.KeyChar < Chr(58) Or e.KeyChar = Chr(Keys.Back) Or e.KeyChar = Chr(Keys.Enter) Then
form1.vb, ,If e.KeyChar = Chr(Keys.Enter) Then
form1.vb,Sub cmdCheck_Click, 
form1.vb,Sub cmdNeueZahl_Click, 
form2.vb,Sub cmdLoad_Click, 
form2.vb, ,If antw = Windows.Forms.DialogResult.OK Then
form2.vb,Sub cbDateien_SelectedIndexChanged, 
form2.vb,Sub rdOriginal_CheckedChanged, 
form2.vb, ,If rdProgramm.Checked = True Then
form2.vb, ,ElseIf rdOriginal.Checked = True Then
form2.vb,Sub cmdBack_Click, 
form2.vb, ,If cbDateien.SelectedIndex <> 0 And cbDateien.SelectedIndex <> -1 Then
form2.vb,Function cmdNext_Click, 
form2.vb, ,If cbDateien.SelectedIndex <> cbDateien.Items.Count - 1 And cbDateien.SelectedIndex <> -1 Then
submodule.vb,Sub Button1_Click, 
submodule.vb,Sub Button1_Click, 
